殼,kSimplifiedVariant,壳
毀,kSimplifiedVariant,毁
毆,kSimplifiedVariant,殴
毿,kSimplifiedVariant,毵
氂,kSimplifiedVariant,牦
氈,kSimplifiedVariant,毡
氌,kSimplifiedVariant,氇
氣,kSimplifiedVariant,气
氫,kSimplifiedVariant,氢
氬,kSimplifiedVariant,氩
氳,kSimplifiedVariant,氲
決,kSimplifiedVariant,决
沒,kSimplifiedVariant,没
沖,kSimplifiedVariant,冲
況,kSimplifiedVariant,况
洶,kSimplifiedVariant,汹
浹,kSimplifiedVariant,浃
涇,kSimplifiedVariant,泾
涼,kSimplifiedVariant,凉
淚,kSimplifiedVariant,泪
淥,kSimplifiedVariant,渌
淪,kSimplifiedVariant,沦
淵,kSimplifiedVariant,渊
淶,kSimplifiedVariant,涞
淺,kSimplifiedVariant,浅
渙,kSimplifiedVariant,涣
減,kSimplifiedVariant,减
渢,kSimplifiedVariant,沨
渦,kSimplifiedVariant,涡
測,kSimplifiedVariant,测
渾,kSimplifiedVariant,浑
湊,kSimplifiedVariant,凑
湞,kSimplifiedVariant,浈
湯,kSimplifiedVariant,汤
溈,kSimplifiedVariant,沩
準,kSimplifiedVariant,准
溝,kSimplifiedVariant,沟
溫,kSimplifiedVariant,温
溳,kSimplifiedVariant,涢
滄,kSimplifiedVariant,沧
滅,kSimplifiedVariant,灭
滌,kSimplifiedVariant,涤
滎,kSimplifiedVariant,荥
滬,kSimplifiedVariant,沪
滯,kSimplifiedVariant,滞
滲,kSimplifiedVariant,渗
滸,kSimplifiedVariant,浒
滻,kSimplifiedVariant,浐
滾,kSimplifiedVariant,滚
